timestamp,light (lux),temperature (deg C),relative humidity (%),humidex,,User Ratings,,Type,Average,Normalized,,Optimal Values,
7/6/2022 9:20:06,616.7,23,53,25.7945638,,8,,Light,733.3684615,7.666315385,,500,"https://www.thegreenage.co.uk/lux-much-light-need/#:~:text=500%20lux%20%E2%80%93%20Retail%20spaces%20should,lux%20values%20may%20be%20needed."
44748.38931,635.93,23,53,25.7945638,,8,,Temp,23.97435897,9.525641026,,23.5,"https://www.ccohs.ca/oshanswers/phys_agents/thermal_comfort.html#:~:text=Recommendations%20provided%20by%20CSA%20Z412,of%2020%2D23.5%C2%B0C"
44748.38965,681.08,23,53,25.7945638,,7,,Humidity,27.31079425,7.689205754,,25,https://www.ccohs.ca/oshanswers/phys_agents/humidex.html
44748.39,670.83,24,53,27.32260817,,8,,,,,,,
44748.39035,626.25,24,53,27.32260817,,,,Average Rating,8.293720721,,,,
44748.39069,696.68,24,53,27.32260817,,,,Class Average,7.75,,,,
44748.39104,691.45,24,53,27.32260817,,,,,,,,,
44748.39139,701.95,24,54,27.49109731,,,,,,,,,
44748.39174,670.83,24,54,27.49109731,,,,,,,,,
44748.39208,635.93,24,54,27.49109731,,,,,,,,,
44748.39243,728.7,24,54,27.49109731,,,,,,,,,
44748.39278,723.29,24,54,27.49109731,,,,,,,,,
44748.39313,717.91,24,54,27.49109731,,,,,,,,,
44748.39347,701.95,24,54,27.49109731,,,,,,,,,
44748.39382,717.91,24,54,27.49109731,,,,,,,,,
44748.39417,712.56,24,53,27.32260817,,,,,,,,,
44748.39451,696.68,24,53,27.32260817,,,,,,,,,
44748.39486,665.75,24,53,27.32260817,,,,,,,,,
44748.39521,660.7,24,53,27.32260817,,,,,,,,,
44748.39556,655.68,24,53,27.32260817,,,,,,,,,
44748.3959,670.83,24,53,27.32260817,,,,,,,,,
44748.39625,675.94,24,53,27.32260817,,,,,,,,,
44748.3966,745.11,24,53,27.32260817,,,,,,,,,
44748.39694,734.14,24,53,27.32260817,,,,,,,,,
44748.39729,739.61,24,53,27.32260817,,,,,,,,,
44748.39764,761.77,24,53,27.32260817,,,,,,,,,
44748.39799,767.38,24,53,27.32260817,,,,,,,,,
44748.39833,773.02,24,53,27.32260817,,,,,,,,,
44748.39868,790.1,24,54,27.49109731,,,,,,,,,
44748.39903,784.38,24,54,27.49109731,,,,,,,,,
44748.39938,819.1,24,54,27.49109731,,,,,,,,,
44748.39972,773.02,24,54,27.49109731,,,,,,,,,
44748.40007,756.19,24,54,27.49109731,,,,,,,,,
44748.40042,756.19,24,54,27.49109731,,,,,,,,,
44748.40076,756.19,24,53,27.32260817,,,,,,,,,
44748.40111,767.38,24,53,27.32260817,,,,,,,,,
44748.40146,778.68,24,53,27.32260817,,,,,,,,,
44748.40181,790.1,24,53,27.32260817,,,,,,,,,
44748.40215,773.02,24,53,27.32260817,,,,,,,,,
44748.4025,767.38,24,53,27.32260817,,,,,,,,,
44748.40285,761.77,24,53,27.32260817,,,,,,,,,
44748.40319,778.68,24,53,27.32260817,,,,,,,,,
44748.40354,767.38,24,54,27.49109731,,,,,,,,,
44748.40389,784.38,24,54,27.49109731,,,,,,,,,
44748.40424,756.19,24,54,27.49109731,,,,,,,,,
44748.40458,819.1,24,54,27.49109731,,,,,,,,,
44748.40493,712.56,24,54,27.49109731,,,,,,,,,
44748.40528,696.68,24,54,27.49109731,,,,,,,,,
44748.40563,696.68,24,54,27.49109731,,,,,,,,,
44748.40597,691.45,24,53,27.32260817,,,,,,,,,
44748.40632,712.56,24,53,27.32260817,,,,,,,,,
44748.40667,707.24,24,53,27.32260817,,,,,,,,,
44748.40701,686.25,24,53,27.32260817,,,,,,,,,
44748.40736,686.25,24,53,27.32260817,,,,,,,,,
44748.40771,750.63,24,53,27.32260817,,,,,,,,,
44748.40806,756.19,24,53,27.32260817,,,,,,,,,
44748.4084,756.19,24,52,27.15415721,,,,,,,,,
44748.40875,707.24,24,52,27.15415721,,,,,,,,,
44748.4091,739.61,24,52,27.15415721,,,,,,,,,
44748.40944,728.7,24,52,27.15415721,,,,,,,,,
44748.40979,756.19,24,52,27.15415721,,,,,,,,,
44748.41014,761.77,24,52,27.15415721,,,,,,,,,
44748.41049,734.14,24,52,27.15415721,,,,,,,,,
44748.41083,728.7,24,52,27.15415721,,,,,,,,,
44748.41118,712.56,24,52,27.15415721,,,,,,,,,
44748.41153,696.68,24,52,27.15415721,,,,,,,,,
44748.41188,728.7,24,53,27.32260817,,,,,,,,,
44748.41222,717.91,24,53,27.32260817,,,,,,,,,
44748.41257,723.29,24,53,27.32260817,,,,,,,,,
44748.41292,707.24,24,53,27.32260817,,,,,,,,,
44748.41326,712.56,24,53,27.32260817,,,,,,,,,
44748.41361,723.29,24,53,27.32260817,,,,,,,,,
44748.41396,701.95,24,53,27.32260817,,,,,,,,,
44748.41431,696.68,24,53,27.32260817,,,,,,,,,
44748.41465,691.45,24,53,27.32260817,,,,,,,,,
44748.415,739.61,24,53,27.32260817,,,,,,,,,
44748.41535,756.19,24,53,27.32260817,,,,,,,,,
44748.41569,712.56,24,53,27.32260817,,,,,,,,,
44748.41604,734.14,24,53,27.32260817,,,,,,,,,
44748.41639,696.68,24,53,27.32260817,,,,,,,,,
